"ncaa_id","team","player_id","name","year","hometown","homestate","high_school","previous_school_clean","height_clean","position","jersey","url","season","team_state","conference","division","primary_position","secondary_position","position_clean","year_clean","redshirt","hs_clean","hometown_clean","state_clean","country_clean"
3,"Adelphi",9289,"Fiona Mannion","Sophomore","Dorchester","Mass","Boston Latin Academy",,"5'9""","Forward","00","https://www.aupanthers.com/sports/womens-basketball/roster/fiona-mannion/9289","2021-22","NY","NE10","II","FORWARD",,"FORWARD","Sophomore",0,"Boston Latin Academy","DORCHESTER, MASS","MA","USA"
3,"Adelphi",9292,"Kaitlyn O'Connell","Freshman","Essex","Mass","The Governor's Academy",,"5'2""","Guard","1","https://www.aupanthers.com/sports/womens-basketball/roster/kaitlyn-o-connell/9292","2021-22","NY","NE10","II","GUARD",,"GUARD","Freshman",0,"The Governor's Academy","ESSEX, MASS","MA","USA"
3,"Adelphi",9294,"Maura Carney","Freshman","Jackson","NJ.","Jackson Liberty",,"5'6""","Guard","10","https://www.aupanthers.com/sports/womens-basketball/roster/maura-carney/9294","2021-22","NY","NE10","II","GUARD",,"GUARD","Freshman",0,"Jackson Liberty","JACKSON, NJ","NJ","USA"
3,"Adelphi",9291,"Victoria Morgan","Freshman","Liverpool","NY.","Liverpool",,"5'8""","Guard","11","https://www.aupanthers.com/sports/womens-basketball/roster/victoria-morgan/9291","2021-22","NY","NE10","II","GUARD",,"GUARD","Freshman",0,"Liverpool","LIVERPOOL, NY","NY","USA"
3,"Adelphi",9286,"Kayla Hall","Graduate Student","Springfield Gardens","NY.","Nazareth Regional (Salem (W. Va.))",,"6'2""","Forward","12","https://www.aupanthers.com/sports/womens-basketball/roster/kayla-hall/9286","2021-22","NY","NE10","II","FORWARD",,"FORWARD","Graduate Student",0,"Nazareth Regional (Salem (W. Va.))","SPRINGFIELD GARDENS, NY","NY","USA"
3,"Adelphi",9287,"Ty'zhea Hawkins","Senior","Brentwood","NY.","Brentwood (Massasoit C.C.)",,"5'4""","Guard","13","https://www.aupanthers.com/sports/womens-basketball/roster/ty-zhea-hawkins/9287","2021-22","NY","NE10","II","GUARD",,"GUARD","Senior",0,"Brentwood (Massasoit C.C.)","BRENTWOOD, NY","NY","USA"
3,"Adelphi",9428,"Rolanda Robinson","Freshman","Brooklyn","NY.","Bishop Loughlin",,"5'8""","Guard","14","https://www.aupanthers.com/sports/womens-basketball/roster/rolanda-robinson/9428","2021-22","NY","NE10","II","GUARD",,"GUARD","Freshman",0,"Bishop Loughlin","BROOKLYN, NY","NY","USA"
3,"Adelphi",9288,"Jillian Licurgo","Senior","Phoenix","Ariz","Sandra Day O'Connor (Canisius)",,"6'2""","Forward","15","https://www.aupanthers.com/sports/womens-basketball/roster/jillian-licurgo/9288","2021-22","NY","NE10","II","FORWARD",,"FORWARD","Senior",0,"Sandra Day O'Connor (Canisius)","PHOENIX, ARIZ","AZ","USA"
3,"Adelphi",9295,"Sydney Rosenoff","Freshman","Dix Hills","NY.","Long Island Lutheran",,"5'9""","Guard","20","https://www.aupanthers.com/sports/womens-basketball/roster/sydney-rosenoff/9295","2021-22","NY","NE10","II","GUARD",,"GUARD","Freshman",0,"Long Island Lutheran","DIX HILLS, NY","NY","USA"
3,"Adelphi",9284,"Sarah Deyo","Graduate Student","Attleboro","Mass","Attleboro (SNHU)",,"5'11""","Forward","22","https://www.aupanthers.com/sports/womens-basketball/roster/sarah-deyo/9284","2021-22","NY","NE10","II","FORWARD",,"FORWARD","Graduate Student",0,"Attleboro (SNHU)","ATTLEBORO, MASS","MA","USA"
3,"Adelphi",9285,"Madison Graham","Sophomore","Valatie","NY.","Ichabod Crane",,"5'8""","Guard","23","https://www.aupanthers.com/sports/womens-basketball/roster/madison-graham/9285","2021-22","NY","NE10","II","GUARD",,"GUARD","Sophomore",0,"Ichabod Crane","VALATIE, NY","NY","USA"
3,"Adelphi",9297,"Stavriana Dimitrakopoulou","Graduate Student","Athens","Greece","The American College of Greece (William Smith)",,"5'9""","Guard","25","https://www.aupanthers.com/sports/womens-basketball/roster/stavriana-dimitrakopoulou/9297","2021-22","NY","NE10","II","GUARD",,"GUARD","Graduate Student",0,"The American College of Greece (William Smith)","ATHENS, GREECE",,"GREECE"
3,"Adelphi",9290,"Emily Miccile","Graduate Student","Wrentham","Mass","Bishop Feehan",,"5'11""","Guard","30","https://www.aupanthers.com/sports/womens-basketball/roster/emily-miccile/9290","2021-22","NY","NE10","II","GUARD",,"GUARD","Graduate Student",0,"Bishop Feehan","WRENTHAM, MASS","MA","USA"
3,"Adelphi",9410,"Emma Cuccurullo","Senior","South Hempstead","NY.","Long Island Lutheran",,"5'11""","Forward","32","https://www.aupanthers.com/sports/womens-basketball/roster/emma-cuccurullo/9410","2021-22","NY","NE10","II","FORWARD",,"FORWARD","Senior",0,"Long Island Lutheran","SOUTH HEMPSTEAD, NY","NY","USA"
3,"Adelphi",9296,"Korina Guerra","Graduate Student","White Plains","NY.","The Ursuline School (Dominican (N.Y.))",,"5'9""","Guard","4","https://www.aupanthers.com/sports/womens-basketball/roster/korina-guerra/9296","2021-22","NY","NE10","II","GUARD",,"GUARD","Graduate Student",0,"The Ursuline School (Dominican (N.Y.))","WHITE PLAINS, NY","NY","USA"
3,"Adelphi",9298,"Rebecca Lee","Graduate Student","Severn","Maryland","Old Mill Senior (Mount St. Mary's)",,"6'2""","Center","44","https://www.aupanthers.com/sports/womens-basketball/roster/rebecca-lee/9298","2021-22","NY","NE10","II","CENTER",,"CENTER","Graduate Student",0,"Old Mill Senior (Mount St. Mary's)","SEVERN, MD","MD","USA"
3,"Adelphi",9293,"Ali Lister","Freshman","Kutztown","Pennsylvania","Northwestern Lehigh",,"5'9""","Guard","5","https://www.aupanthers.com/sports/womens-basketball/roster/ali-lister/9293","2021-22","NY","NE10","II","GUARD",,"GUARD","Freshman",0,"Northwestern Lehigh","KUTZTOWN, PA","PA","USA"
5,"Akron",,"Annika Corcoran","So.","Painesville","Ohio","Gilmour",,"5-6","G","0","https://gozips.com/sports/womens-basketball/roster/annika-corcoran/7361","2021-22","OH","MAC","I","GUARD",,"GUARD","Sophomore",0,"Gilmour","PAINESVILLE, OHIO","OH","USA"
5,"Akron",,"Kendall Miller","Sr.","Akron","Ohio","St. Vincent-St. Mary",,"5-9","G","1","https://gozips.com/sports/womens-basketball/roster/kendall-miller/7356","2021-22","OH","MAC","I","GUARD",,"GUARD","Senior",0,"St. Vincent-St. Mary","AKRON, OHIO","OH","USA"
5,"Akron",,"Alexis Stewart","So.","Hamilton","Ontario","St. Thomas More",,"5-10","G","10","https://gozips.com/sports/womens-basketball/roster/alexis%20-stewart/7359","2021-22","OH","MAC","I","GUARD",,"GUARD","Sophomore",0,"St. Thomas More","HAMILTON, ONTARIO",,"CANADA"
5,"Akron",,"Sabhbh Edwards Murphy","R-Fr.","County Clare","Ireland","Kilrush Community School",,"6-2","F","11","https://gozips.com/sports/womens-basketball/roster/sabhbh%20-edwards%20murphy/7353","2021-22","OH","MAC","I","FORWARD",,"FORWARD","Freshman",1,"Kilrush Community School","COUNTY CLARE, IRELAND",,"IRELAND"
5,"Akron",,"Lonasia Brewer","Jr.","Akron","Ohio","Archbishop Hoban",,"5-11","F","13","https://gozips.com/sports/womens-basketball/roster/lonasia%20-brewer/7349","2021-22","OH","MAC","I","FORWARD",,"FORWARD","Junior",0,"Archbishop Hoban","AKRON, OHIO","OH","USA"
5,"Akron",,"Rachel Martindale","Jr.","Pittsburgh","Pennsylvania","North Allegheny Senior High",,"5-8","G","14","https://gozips.com/sports/womens-basketball/roster/rachel%20-martindale/7355","2021-22","OH","MAC","I","GUARD",,"GUARD","Junior",0,"North Allegheny Senior High","PITTSBURGH, PA","PA","USA"
5,"Akron",,"Alanna Carter","R-Fr.","Mason","Ohio","Mason",,"5-9","G","2","https://gozips.com/sports/womens-basketball/roster/alanna-carter/7351","2021-22","OH","MAC","I","GUARD",,"GUARD","Freshman",1,"Mason","MASON, OHIO","OH","USA"
5,"Akron",,"Gabrielle Brown-Mitchell","Sr.","Solon","Ohio","Solon",,"5-7","G","20","https://gozips.com/sports/womens-basketball/roster/gabrielle%20-brown-mitchell/7350","2021-22","OH","MAC","I","GUARD",,"GUARD","Senior",0,"Solon","SOLON, OHIO","OH","USA"
5,"Akron",,"Molly Neitzel","Jr.","Rocky River","Ohio","St. Joseph Academy",,"6-0","G","21","https://gozips.com/sports/womens-basketball/roster/molly-neitzel/7358","2021-22","OH","MAC","I","GUARD",,"GUARD","Junior",0,"St. Joseph Academy","ROCKY RIVER, OHIO","OH","USA"
5,"Akron",,"Zakia Rasheed","Fr.","Avon","Ind","Bishop Chatard",,"5-8","G","23","https://gozips.com/sports/womens-basketball/roster/zakia-rasheed/7362","2021-22","OH","MAC","I","GUARD",,"GUARD","Freshman",0,"Bishop Chatard","AVON, IND","IN","USA"
5,"Akron",,"Jordyn Dawson","R-Sr.","Huntington","W Va","Huntington",,"5-11","F","25","https://gozips.com/sports/womens-basketball/roster/jordyn-dawson/7352","2021-22","OH","MAC","I","FORWARD",,"FORWARD","Senior",1,"Huntington","HUNTINGTON, W VA","VA","USA"
5,"Akron",,"Emma Tecca","R-So.","Tallmadge","Ohio","Archbishop Hoban",,"5-10","G","3","https://gozips.com/sports/womens-basketball/roster/emma%20-tecca/7360","2021-22","OH","MAC","I","GUARD",,"GUARD","Sophomore",1,"Archbishop Hoban","TALLMADGE, OHIO","OH","USA"
5,"Akron",,"Layne Ferrell","R-So.","Franklin","Ohio","Franklin",,"6-2","G","30","https://gozips.com/sports/womens-basketball/roster/layne-ferrell/7354","2021-22","OH","MAC","I","GUARD",,"GUARD","Sophomore",1,"Franklin","FRANKLIN, OHIO","OH","USA"
5,"Akron",,"Colleen Neitzel","Sr.","Rocky River","Ohio","St. Joseph Academy",,"6-1","F","33","https://gozips.com/sports/womens-basketball/roster/colleen%20-neitzel/7357","2021-22","OH","MAC","I","FORWARD",,"FORWARD","Senior",0,"St. Joseph Academy","ROCKY RIVER, OHIO","OH","USA"
5,"Akron",,"Reagan Bass","Fr.","Strongsville","Ohio","Strongsville",,"6-1","F","34","https://gozips.com/sports/womens-basketball/roster/reagan-bass/7364","2021-22","OH","MAC","I","FORWARD",,"FORWARD","Freshman",0,"Strongsville","STRONGSVILLE, OHIO","OH","USA"
5,"Akron",,"Abby Carter","Fr.","Geneva","Ohio","Eastlake North",,"5-10","G","5","https://gozips.com/sports/womens-basketball/roster/abby-carter/7363","2021-22","OH","MAC","I","GUARD",,"GUARD","Freshman",0,"Eastlake North","GENEVA, OHIO","OH","USA"
6,"Alabama A&M",5059,"Darian Burgin","Sophomore","Cincinnati","Ohio","Walnut Hills HS",,"5'7""","Guard","0","https://www.aamusports.com/sports/womens-basketball/roster/darian-burgin/5059","2021-22","AL","SWAC","I","GUARD",,"GUARD","Sophomore",0,"Walnut Hills HS","CINCINNATI, OHIO","OH","USA"
6,"Alabama A&M",5066,"Ja'Niah Alexander","Freshman","Rex","Georgia","McDonough HS",,"5'10""","Guard","1","https://www.aamusports.com/sports/womens-basketball/roster/ja-niah-alexander/5066","2021-22","AL","SWAC","I","GUARD",,"GUARD","Freshman",0,"McDonough HS","REX, GA","GA","USA"
6,"Alabama A&M",5181,"Trinity Murray","Sophomore","Memphis","Tenn",,,"5'0""","Guard","11","https://www.aamusports.com/sports/womens-basketball/roster/trinity-murray/5181","2021-22","AL","SWAC","I","GUARD",,"GUARD","Sophomore",0,,"MEMPHIS, TENN","TN","USA"
6,"Alabama A&M",5073,"Zhordan Shannon","Freshman","Smyrna","Tenn","Stewarts Creek HS",,"5'10""","Guard","12","https://www.aamusports.com/sports/womens-basketball/roster/zhordan-shannon/5073","2021-22","AL","SWAC","I","GUARD",,"GUARD","Freshman",0,"Stewarts Creek HS","SMYRNA, TENN","TN","USA"
6,"Alabama A&M",5180,"Kobi Warner","Junior","Birmingham","Ala","George Carver HS",,"5'10""","Forward","14","https://www.aamusports.com/sports/womens-basketball/roster/kobi-warner/5180","2021-22","AL","SWAC","I","FORWARD",,"FORWARD","Junior",0,"George Carver HS","BIRMINGHAM, ALA","AL","USA"
6,"Alabama A&M",5069,"Jill Harris","Junior","Navarre","Fla","Crestview HS","Mercer Univ.","5'7""","Guard","15","https://www.aamusports.com/sports/womens-basketball/roster/jill-harris/5069","2021-22","AL","SWAC","I","GUARD",,"GUARD","Junior",0,"Crestview HS","NAVARRE, FLA","FL","USA"
6,"Alabama A&M",5072,"LaCambria Shakespeare","Freshman","Duluth","Georgia","Collins Hill HS",,"6'4""","Center","2","https://www.aamusports.com/sports/womens-basketball/roster/lacambria-shakespeare/5072","2021-22","AL","SWAC","I","CENTER",,"CENTER","Freshman",0,"Collins Hill HS","DULUTH, GA","GA","USA"
6,"Alabama A&M",5063,"Dariauna Lewis","Senior","Omaha","Neb","North HS","Missouri State","6'1""","Forward","21","https://www.aamusports.com/sports/womens-basketball/roster/dariauna-lewis/5063","2021-22","AL","SWAC","I","FORWARD",,"FORWARD","Senior",0,"North HS","OMAHA, NEB","NE","USA"
6,"Alabama A&M",5068,"Teliyah Jeter","Graduate Student","Taylors","SC.","Legacy Charter","Wingate Univ.","6'0""","Forward","22","https://www.aamusports.com/sports/womens-basketball/roster/teliyah-jeter/5068","2021-22","AL","SWAC","I","FORWARD",,"FORWARD","Graduate Student",0,"Legacy Charter","TAYLORS, SC","SC","USA"
6,"Alabama A&M",5067,"Jada Clowers","Senior","Macon","Georgia","Central HS","UMBC/St. Petersburg College","6'2""","Center","30","https://www.aamusports.com/sports/womens-basketball/roster/jada-clowers/5067","2021-22","AL","SWAC","I","CENTER",,"CENTER","Senior",0,"Central HS","MACON, GA","GA","USA"
6,"Alabama A&M",5061,"Kierra Johnson-Graham","Graduate Student","Ellenwood","Georgia","Tucker HS","Liberty","5'11""","Forward","35","https://www.aamusports.com/sports/womens-basketball/roster/kierra-johnson-graham/5061","2021-22","AL","SWAC","I","FORWARD",,"FORWARD","Graduate Student",0,"Tucker HS","ELLENWOOD, GA","GA","USA"
6,"Alabama A&M",5071,"Quantaijah Huffman","Freshman","Dayton","Ohio","Trotwood-Madison HS",,"5'8""","Guard","4","https://www.aamusports.com/sports/womens-basketball/roster/quantaijah-huffman/5071","2021-22","AL","SWAC","I","GUARD",,"GUARD","Freshman",0,"Trotwood-Madison HS","DAYTON, OHIO","OH","USA"
6,"Alabama A&M",5062,"Nigeria Jones","Graduate Student","Lincoln","Neb","Northeast HS",,"5'7""","Guard","5","https://www.aamusports.com/sports/womens-basketball/roster/nigeria-jones/5062","2021-22","AL","SWAC","I","GUARD",,"GUARD","Graduate Student",0,"Northeast HS","LINCOLN, NEB","NE","USA"
7,"Alabama State",6668,"Ayana Emmanuel","Senior","Fort Lauderdale","Fla","Dillard HS",,"5'9""","Guard","0","https://www.bamastatesports.com/sports/womens-basketball/roster/ayana-emmanuel/6668","2021-22","AL","SWAC","I","GUARD",,"GUARD","Senior",0,"Dillard HS","FORT LAUDERDALE, FLA","FL","USA"
7,"Alabama State",6587,"Tyesha Rudolph","Senior","Evergreen","Ala","Hillcrest HS",,"5'9""","Guard","1","https://www.bamastatesports.com/sports/womens-basketball/roster/tyesha-rudolph/6587","2021-22","AL","SWAC","I","GUARD",,"GUARD","Senior",0,"Hillcrest HS","EVERGREEN, ALA","AL","USA"
7,"Alabama State",6590,"Tamia Stallings","Junior","Brookhaven","Miss","Brookhaven HS","Jacksonville University","5'11""","Forward","12","https://www.bamastatesports.com/sports/womens-basketball/roster/tamia-stallings/6590","2021-22","AL","SWAC","I","FORWARD",,"FORWARD","Junior",0,"Brookhaven HS","BROOKHAVEN, MISS","MS","USA"
7,"Alabama State",6594,"Brazyll Watkins","Freshman","Battle Creek","Mich","Lakeview HS",,"5'9""","Guard","13","https://www.bamastatesports.com/sports/womens-basketball/roster/brazyll-watkins/6594","2021-22","AL","SWAC","I","GUARD",,"GUARD","Freshman",0,"Lakeview HS","BATTLE CREEK, MICH","MI","USA"
7,"Alabama State",6585,"Jada Nneji","Graduate Student","Uxbridge","Canada","The Tech Academy","Illinois Chicago","6'2""","Forward","14","https://www.bamastatesports.com/sports/womens-basketball/roster/jada-nneji/6585","2021-22","AL","SWAC","I","FORWARD",,"FORWARD","Graduate Student",0,"The Tech Academy","UXBRIDGE, CANADA",,"CANADA"
7,"Alabama State",6584,"Kailya Jackson","Graduate Student","Gainesville","Fla","P.K. Yonge DRS","Florida A&M University","5'9""","Guard","2","https://www.bamastatesports.com/sports/womens-basketball/roster/kailya-jackson/6584","2021-22","AL","SWAC","I","GUARD",,"GUARD","Graduate Student",0,"P.K. Yonge DRS","GAINESVILLE, FLA","FL","USA"
7,"Alabama State",6592,"Shmya Ward","Redshirt Junior","Memphis","Tenn","Whitehaven HS",,"6'0""","Forward","21","https://www.bamastatesports.com/sports/womens-basketball/roster/shmya-ward/6592","2021-22","AL","SWAC","I","FORWARD",,"FORWARD","Junior",1,"Whitehaven HS","MEMPHIS, TENN","TN","USA"
7,"Alabama State",6579,"Tederia Ashley","Sophomore","Huntsville","Ala","Mae Jemison HS",,"6'0""","Guard","22","https://www.bamastatesports.com/sports/womens-basketball/roster/tederia-ashley/6579","2021-22","AL","SWAC","I","GUARD",,"GUARD","Sophomore",0,"Mae Jemison HS","HUNTSVILLE, ALA","AL","USA"
7,"Alabama State",6593,"Hannah White","Junior","Columbus","Miss","Columbus HS",,"5'8""","Guard","24","https://www.bamastatesports.com/sports/womens-basketball/roster/hannah-white/6593","2021-22","AL","SWAC","I","GUARD",,"GUARD","Junior",0,"Columbus HS","COLUMBUS, MISS","MS","USA"
7,"Alabama State",6591,"Tamirea Thomas","Sophomore","Pike Road","Ala","Pike Road HS",,"6'3""","Center","25","https://www.bamastatesports.com/sports/womens-basketball/roster/tamirea-thomas/6591","2021-22","AL","SWAC","I","CENTER",,"CENTER","Sophomore",0,"Pike Road HS","PIKE ROAD, ALA","AL","USA"
7,"Alabama State",6580,"Jayla Crawford","Senior","Birmingham","Ala","Huffman HS",,"5'7""","Guard","3","https://www.bamastatesports.com/sports/womens-basketball/roster/jayla-crawford/6580","2021-22","AL","SWAC","I","GUARD",,"GUARD","Senior",0,"Huffman HS","BIRMINGHAM, ALA","AL","USA"
7,"Alabama State",6589,"Aniyah Smith","Junior","Birmingham","Ala","Ramsay HS",,"5'10""","Forward","30","https://www.bamastatesports.com/sports/womens-basketball/roster/aniyah-smith/6589","2021-22","AL","SWAC","I","FORWARD",,"FORWARD","Junior",0,"Ramsay HS","BIRMINGHAM, ALA","AL","USA"
7,"Alabama State",6586,"Farrah Pearson","Sophomore","Hazel Green","Ala","Hazel Green HS",,"5'10""","Forward","34","https://www.bamastatesports.com/sports/womens-basketball/roster/farrah-pearson/6586","2021-22","AL","SWAC","I","FORWARD",,"FORWARD","Sophomore",0,"Hazel Green HS","HAZEL GREEN, ALA","AL","USA"
7,"Alabama State",6588,"DaKiyah Sanders","Sophomore","Birmingham","Ala","Ramsay HS",,"5'3""","Guard","4","https://www.bamastatesports.com/sports/womens-basketball/roster/dakiyah-sanders/6588","2021-22","AL","SWAC","I","GUARD",,"GUARD","Sophomore",0,"Ramsay HS","BIRMINGHAM, ALA","AL","USA"
7,"Alabama State",6582,"Malia Grace","Sophomore","Grayson","Georgia","Grayson HS",,"6'2""","Center","42","https://www.bamastatesports.com/sports/womens-basketball/roster/malia-grace/6582","2021-22","AL","SWAC","I","CENTER",,"CENTER","Sophomore",0,"Grayson HS","GRAYSON, GA","GA","USA"
8,"Alabama",7348,"Ahriahna Grizzle","Junior","Toronto","Canada","Bill Crothers Secondary School",,"5'9""","Guard","0","https://www.rolltide.com/sports/womens-basketball/roster/ahriahna-grizzle/7348","2021-22","AL","SEC","I","GUARD",,"GUARD","Junior",0,"Bill Crothers Secondary School","TORONTO, CANADA",,"CANADA"
8,"Alabama",7343,"Megan Abrams","Senior","Lafayette","Louisiana","Lafayette Christian Academy",,"5'9""","Guard","1","https://www.rolltide.com/sports/womens-basketball/roster/megan-abrams/7343","2021-22","AL","SEC","I","GUARD",,"GUARD","Senior",0,"Lafayette Christian Academy","LAFAYETTE, LA","LA","USA"
8,"Alabama",7345,"Allie Craig Cruce","Graduate Student","Killen","Ala","Lauderdale County HS",,"6'1""","Forward","12","https://www.rolltide.com/sports/womens-basketball/roster/allie-craig-cruce/7345","2021-22","AL","SEC","I","FORWARD",,"FORWARD","Graduate Student",0,"Lauderdale County HS","KILLEN, ALA","AL","USA"
8,"Alabama",7347,"Myra Gordon","Sophomore","Fort Worth","Texas","L.D. Bell HS",,"6'0""","Guard","15","https://www.rolltide.com/sports/womens-basketball/roster/myra-gordon/7347","2021-22","AL","SEC","I","GUARD",,"GUARD","Sophomore",0,"L.D. Bell HS","FORT WORTH, TEXAS","TX","USA"
8,"Alabama",7354,"JaMya Mingo-Young","Junior","Bogalusa","Louisiana","Loranger HS","Mississippi State","5'8""","Guard","2","https://www.rolltide.com/sports/womens-basketball/roster/jamya-mingo-young/7354","2021-22","AL","SEC","I","GUARD",,"GUARD","Junior",0,"Loranger HS","BOGALUSA, LA","LA","USA"
8,"Alabama",7346,"Brittany Davis","Senior","Manchester","Georgia","Greenville HS","Gulf Coast State College","5'9""","Guard","23","https://www.rolltide.com/sports/womens-basketball/roster/brittany-davis/7346","2021-22","AL","SEC","I","GUARD",,"GUARD","Senior",0,"Greenville HS","MANCHESTER, GA","GA","USA"
8,"Alabama",8040,"Loyal McQueen","Sophomore","Florence","SC.","Wilson HS","Georgia Tech","5'8""","Guard","3","https://www.rolltide.com/sports/womens-basketball/roster/loyal-mcqueen/8040","2021-22","AL","SEC","I","GUARD",,"GUARD","Sophomore",0,"Wilson HS","FLORENCE, SC","SC","USA"
8,"Alabama",7356,"Jada Rice","Graduate Student","Suwanee","Georgia","Collins Hill HS","NC State","6'4""","Center","31","https://www.rolltide.com/sports/womens-basketball/roster/jada-rice/7356","2021-22","AL","SEC","I","CENTER",,"CENTER","Graduate Student",0,"Collins Hill HS","SUWANEE, GA","GA","USA"
8,"Alabama",7355,"Khyla Wade-Warren","Sophomore","Selmer","Tenn","McNairy Central HS","Texas Tech","6'2""","Forward","33","https://www.rolltide.com/sports/womens-basketball/roster/khyla-wade-warren/7355","2021-22","AL","SEC","I","FORWARD",,"FORWARD","Sophomore",0,"McNairy Central HS","SELMER, TENN","TN","USA"
8,"Alabama",7350,"Taylor Sutton","Senior","Atlanta","Georgia","Greater Atlanta Christian","Middle Tennessee","5'4""","Guard","4","https://www.rolltide.com/sports/womens-basketball/roster/taylor-sutton/7350","2021-22","AL","SEC","I","GUARD",,"GUARD","Senior",0,"Greater Atlanta Christian","ATLANTA, GA","GA","USA"
