"ncaa_id","team","player_id","name","year","hometown","homestate","high_school","previous_school_clean","height_clean","position","jersey","url","season","team_state","conference","division","height_ft","height_in","total_inches","primary_position","secondary_position","position_clean","year_clean","redshirt","hs_clean","hometown_clean","state_clean","country_clean"
6,"Alabama A&M",4801,"Tamya Long","Junior","Chattanooga","Tenn","Baylor HS","UT Chattanooga",,"Guard","3","https://www.aamusports.com/sports/womens-basketball/roster/tamya-long/4801","2020-21","AL","SWAC","I",,,,"GUARD",,"GUARD","Junior",0,"Baylor HS","CHATTANOOGA, TENN","TN","USA"
6,"Alabama A&M",4473,"Elexis Evans","Redshirt Junior","Greensboro","Ala","Greensboro HS",,"6'4""","Center","32","https://www.aamusports.com/sports/womens-basketball/roster/elexis-evans/4473","2020-21","AL","SWAC","I",6,4,76,"CENTER",,"CENTER","Junior",1,"Greensboro HS","GREENSBORO, ALA","AL","USA"
6,"Alabama A&M",4478,"Ariana Powe","Sophomore","Huntsville","Ala","Grissom HS",,"5'10""","Forward","34","https://www.aamusports.com/sports/womens-basketball/roster/ariana-powe/4478","2020-21","AL","SWAC","I",5,10,70,"FORWARD",,"FORWARD","Sophomore",0,"Grissom HS","HUNTSVILLE, ALA","AL","USA"
6,"Alabama A&M",4476,"Nigeria Jones","Senior","Lincoln","Neb","Northeast HS",,"5'7""","Guard","5","https://www.aamusports.com/sports/womens-basketball/roster/nigeria-jones/4476","2020-21","AL","SWAC","I",5,7,67,"GUARD",,"GUARD","Senior",0,"Northeast HS","LINCOLN, NEB","NE","USA"
6,"Alabama A&M",4481,"De'Asia Thomas","Sophomore","Sapulpa","Okla","Sapulpa HS",,"5'11""","Forward","50","https://www.aamusports.com/sports/womens-basketball/roster/de-asia-thomas/4481","2020-21","AL","SWAC","I",5,11,71,"FORWARD",,"FORWARD","Sophomore",0,"Sapulpa HS","SAPULPA, OKLA","OK","USA"
7,"Alabama State",6062,"Ayana Emmanuel","Junior","Fort Lauderdale","Fla","Dillard HS",,"5'9""","Guard","0","https://www.bamastatesports.com/sports/womens-basketball/roster/ayana-emmanuel/6062","2020-21","AL","SWAC","I",5,9,69,"GUARD",,"GUARD","Junior",0,"Dillard HS","FORT LAUDERDALE, FLA","FL","USA"
7,"Alabama State",6066,"Tyesha Rudolph","Junior","Evergreen","Ala","Hillcrest HS",,"5'9""","Guard","1","https://www.bamastatesports.com/sports/womens-basketball/roster/tyesha-rudolph/6066","2020-21","AL","SWAC","I",5,9,69,"GUARD",,"GUARD","Junior",0,"Hillcrest HS","EVERGREEN, ALA","AL","USA"
7,"Alabama State",6063,"Courtney Lee","Senior","Birmingham","Ala","Ramsay HS",,"5'6""","Guard","10","https://www.bamastatesports.com/sports/womens-basketball/roster/courtney-lee/6063","2020-21","AL","SWAC","I",5,6,66,"GUARD",,"GUARD","Senior",0,"Ramsay HS","BIRMINGHAM, ALA","AL","USA"
7,"Alabama State",6072,"Nala Baker","Freshman","Pensacola","Fla","Pensacola HS",,"5'7""","Guard","11","https://www.bamastatesports.com/sports/womens-basketball/roster/nala-baker/6072","2020-21","AL","SWAC","I",5,7,67,"GUARD",,"GUARD","Freshman",0,"Pensacola HS","PENSACOLA, FLA","FL","USA"
7,"Alabama State",6060,"Kaeani Berry","Junior","Downey","Calif","Warren HS",,"6'1""","Forward","15","https://www.bamastatesports.com/sports/womens-basketball/roster/kaeani-berry/6060","2020-21","AL","SWAC","I",6,1,73,"FORWARD",,"FORWARD","Junior",0,"Warren HS","DOWNEY, CALIF","CA","USA"
7,"Alabama State",6068,"Armani Smith","Junior","Marietta","Georgia","Wheeler HS",,"5'8""","Guard","2","https://www.bamastatesports.com/sports/womens-basketball/roster/armani-smith/6068","2020-21","AL","SWAC","I",5,8,68,"GUARD",,"GUARD","Junior",0,"Wheeler HS","MARIETTA, GA","GA","USA"
7,"Alabama State",6069,"Shmya Ward","Junior","Memphis","Tenn","Whitehaven HS",,"6'0""","Forward","21","https://www.bamastatesports.com/sports/womens-basketball/roster/shmya-ward/6069","2020-21","AL","SWAC","I",6,0,72,"FORWARD",,"FORWARD","Junior",0,"Whitehaven HS","MEMPHIS, TENN","TN","USA"
7,"Alabama State",6075,"Tederia Ashley","Freshman","Huntsville","Ala","Mae Jemison HS",,"6'0""","Forward","22","https://www.bamastatesports.com/sports/womens-basketball/roster/tederia-ashley/6075","2020-21","AL","SWAC","I",6,0,72,"FORWARD",,"FORWARD","Freshman",0,"Mae Jemison HS","HUNTSVILLE, ALA","AL","USA"
7,"Alabama State",6065,"Dereseia Randle","Sophomore","Horn Lake","Miss","Horn Lake HS",,"6'2""","Forward","23","https://www.bamastatesports.com/sports/womens-basketball/roster/dereseia-randle/6065","2020-21","AL","SWAC","I",6,2,74,"FORWARD",,"FORWARD","Sophomore",0,"Horn Lake HS","HORN LAKE, MISS","MS","USA"
7,"Alabama State",6070,"Hannah White","Sophomore","Columbus","Miss","Columbus HS",,"5'8""","Guard","24","https://www.bamastatesports.com/sports/womens-basketball/roster/hannah-white/6070","2020-21","AL","SWAC","I",5,8,68,"GUARD",,"GUARD","Sophomore",0,"Columbus HS","COLUMBUS, MISS","MS","USA"
7,"Alabama State",6076,"Tamirea Thomas","Freshman","Pike Road","Ala","Pike Road HS",,"6'3""","Center","25","https://www.bamastatesports.com/sports/womens-basketball/roster/tamirea-thomas/6076","2020-21","AL","SWAC","I",6,3,75,"CENTER",,"CENTER","Freshman",0,"Pike Road HS","PIKE ROAD, ALA","AL","USA"
7,"Alabama State",6061,"Jayla Crawford","Junior","Birmingham","Ala","Huffman HS",,"5'7""","Guard","3","https://www.bamastatesports.com/sports/womens-basketball/roster/jayla-crawford/6061","2020-21","AL","SWAC","I",5,7,67,"GUARD",,"GUARD","Junior",0,"Huffman HS","BIRMINGHAM, ALA","AL","USA"
7,"Alabama State",6067,"Aniyah Smith","Sophomore","Birmingham","Ala","Ramsay HS",,"5'10""","Forward","30","https://www.bamastatesports.com/sports/womens-basketball/roster/aniyah-smith/6067","2020-21","AL","SWAC","I",5,10,70,"FORWARD",,"FORWARD","Sophomore",0,"Ramsay HS","BIRMINGHAM, ALA","AL","USA"
7,"Alabama State",6077,"Farrah Pearson","Freshman","Hazel Green","Ala","Hazel Green HS",,"5'10""","Forward","34","https://www.bamastatesports.com/sports/womens-basketball/roster/farrah-pearson/6077","2020-21","AL","SWAC","I",5,10,70,"FORWARD",,"FORWARD","Freshman",0,"Hazel Green HS","HAZEL GREEN, ALA","AL","USA"
7,"Alabama State",6071,"DaKiyah Sanders","Freshman","Birmingham","Ala","Ramsay HS",,"5'3""","Guard","4","https://www.bamastatesports.com/sports/womens-basketball/roster/dakiyah-sanders/6071","2020-21","AL","SWAC","I",5,3,63,"GUARD",,"GUARD","Freshman",0,"Ramsay HS","BIRMINGHAM, ALA","AL","USA"
7,"Alabama State",6078,"Malia Grace","Freshman","Grayson","Georgia","Grayson HS",,"6'2""","Center","42","https://www.bamastatesports.com/sports/womens-basketball/roster/malia-grace/6078","2020-21","AL","SWAC","I",6,2,74,"CENTER",,"CENTER","Freshman",0,"Grayson HS","GRAYSON, GA","GA","USA"
7,"Alabama State",6064,"Aliyah Nelson","Senior","Pompano Beach","Fla","Boyd Anderson HS",,"6'0""","Forward","5","https://www.bamastatesports.com/sports/womens-basketball/roster/aliyah-nelson/6064","2020-21","AL","SWAC","I",6,0,72,"FORWARD",,"FORWARD","Senior",0,"Boyd Anderson HS","POMPANO BEACH, FLA","FL","USA"
8,"Alabama",6423,"Ahriahna Grizzle","Sophomore","Toronto","Canada","Bill Crothers Secondary School",,"5'9""","Guard","0","https://www.rolltide.com/sports/womens-basketball/roster/ahriahna-grizzle/6423","2020-21","AL","SEC","I",5,9,69,"GUARD",,"GUARD","Sophomore",0,"Bill Crothers Secondary School","TORONTO, CANADA",,"CANADA"
8,"Alabama",6417,"Megan Abrams","Junior","Lafayette","Louisiana","Lafayette Christian Academy",,"5'9""","Guard","1","https://www.rolltide.com/sports/womens-basketball/roster/megan-abrams/6417","2020-21","AL","SEC","I",5,9,69,"GUARD",,"GUARD","Junior",0,"Lafayette Christian Academy","LAFAYETTE, LA","LA","USA"
8,"Alabama",6425,"Destiny Rice","Sophomore","Shreveport","Louisiana","North Caddo Magnet HS",,"5'8""","Guard","11","https://www.rolltide.com/sports/womens-basketball/roster/destiny-rice/6425","2020-21","AL","SEC","I",5,8,68,"GUARD",,"GUARD","Sophomore",0,"North Caddo Magnet HS","SHREVEPORT, LA","LA","USA"
8,"Alabama",6421,"Allie Craig Cruce","Junior","Killen","Ala","Lauderdale County HS",,"6'1""","Forward","12","https://www.rolltide.com/sports/womens-basketball/roster/allie-craig-cruce/6421","2020-21","AL","SEC","I",6,1,73,"FORWARD",,"FORWARD","Junior",0,"Lauderdale County HS","KILLEN, ALA","AL","USA"
8,"Alabama",6427,"Myra Gordon","Freshman","Fort Worth","Texas","L.D. Bell HS",,"6'0""","Guard/Forward","15","https://www.rolltide.com/sports/womens-basketball/roster/myra-gordon/6427","2020-21","AL","SEC","I",6,0,72,"GUARD","FORWARD","GUARD/FORWARD","Freshman",0,"L.D. Bell HS","FORT WORTH, TEXAS","TX","USA"
8,"Alabama",6431,"Keyara Jones","Junior","Heidelburg","Miss","Heidelburg HS","Jones College","5'6""","Guard","2","https://www.rolltide.com/sports/womens-basketball/roster/keyara-jones/6431","2020-21","AL","SEC","I",5,6,66,"GUARD",,"GUARD","Junior",0,"Heidelburg HS","HEIDELBURG, MISS","MS","USA"
8,"Alabama",6428,"Ruth Koang","Junior","Rochester","NY.","Our Lady of Mercy","South Plains College","6'5""","Center","20","https://www.rolltide.com/sports/womens-basketball/roster/ruth-koang/6428","2020-21","AL","SEC","I",6,5,77,"CENTER",,"CENTER","Junior",0,"Our Lady of Mercy","ROCHESTER, NY","NY","USA"
8,"Alabama",6420,"Ariyah Copeland","Senior","Columbus","Georgia","Columbus HS",,"6'3""","Forward","22","https://www.rolltide.com/sports/womens-basketball/roster/ariyah-copeland/6420","2020-21","AL","SEC","I",6,3,75,"FORWARD",,"FORWARD","Senior",0,"Columbus HS","COLUMBUS, GA","GA","USA"
8,"Alabama",6422,"Brittany Davis","Junior","Manchester","Georgia","Greenville HS","Gulf Coast State College","5'9""","Guard","23","https://www.rolltide.com/sports/womens-basketball/roster/brittany-davis/6422","2020-21","AL","SEC","I",5,9,69,"GUARD",,"GUARD","Junior",0,"Greenville HS","MANCHESTER, GA","GA","USA"
8,"Alabama",6419,"De'Sha Benjamin","Junior","Augusta","Georgia","Lucy C. Laney HS",,"6'0""","Guard","24","https://www.rolltide.com/sports/womens-basketball/roster/de-sha-benjamin/6419","2020-21","AL","SEC","I",6,0,72,"GUARD",,"GUARD","Junior",0,"Lucy C. Laney HS","AUGUSTA, GA","GA","USA"
8,"Alabama",6424,"Jordan Lewis","Redshirt Senior","Windermere","Fla","Lake Highland Prep",,"5'7""","Guard","3","https://www.rolltide.com/sports/womens-basketball/roster/jordan-lewis/6424","2020-21","AL","SEC","I",5,7,67,"GUARD",,"GUARD","Senior",1,"Lake Highland Prep","WINDERMERE, FLA","FL","USA"
8,"Alabama",6429,"Alana Busby-Dunphy","Sophomore","Eureka","Calif","Eureka HS","Dodge City CC","6'3""","Forward","32","https://www.rolltide.com/sports/womens-basketball/roster/alana-busby-dunphy/6429","2020-21","AL","SEC","I",6,3,75,"FORWARD",,"FORWARD","Sophomore",0,"Eureka HS","EUREKA, CALIF","CA","USA"
8,"Alabama",6430,"Taylor Sutton","Junior","Atlanta","Georgia","Greater Atlanta Christian","Middle Tennessee","5'4""","Guard","4","https://www.rolltide.com/sports/womens-basketball/roster/taylor-sutton/6430","2020-21","AL","SEC","I",5,4,64,"GUARD",,"GUARD","Junior",0,"Greater Atlanta Christian","ATLANTA, GA","GA","USA"
8,"Alabama",6426,"Jasmine Walker","Senior","Montgomery","Ala","Jefferson Davis HS","Florida State","6'3""","Forward","40","https://www.rolltide.com/sports/womens-basketball/roster/jasmine-walker/6426","2020-21","AL","SEC","I",6,3,75,"FORWARD",,"FORWARD","Senior",0,"Jefferson Davis HS","MONTGOMERY, ALA","AL","USA"
8,"Alabama",6418,"Hannah Barber","Junior","Homewood","Ala","Homewood HS",,"5'6""","Guard","5","https://www.rolltide.com/sports/womens-basketball/roster/hannah-barber/6418","2020-21","AL","SEC","I",5,6,66,"GUARD",,"GUARD","Junior",0,"Homewood HS","HOMEWOOD, ALA","AL","USA"
9,"UAB",,"Margaret Whitley","Jr.","Geneva","Ill","Geneva",,"5' 8''","Guard","1","https://uabsports.com/sports/womens-basketball/roster/margaret-whitley/8206","2020-21","AL","C-USA","I",5,8,68,"GUARD",,"GUARD","Junior",0,"Geneva","GENEVA, ILL","IL","USA"
9,"UAB",,"Sara Rosenfeldt","Jr.","St. Charles","Ill","St. Charles East",,"6' 0''","Forward","10","https://uabsports.com/sports/womens-basketball/roster/sara-rosenfeldt/8203","2020-21","AL","C-USA","I",6,0,72,"FORWARD",,"FORWARD","Junior",0,"St. Charles East","ST CHARLES, ILL","IL","USA"
9,"UAB",,"Emily Klaczek","Fr.","Hoffman Estates","Ill","William Fremd",,"5' 10''","Guard","11","https://uabsports.com/sports/womens-basketball/roster/emily-klaczek/8209","2020-21","AL","C-USA","I",5,10,70,"GUARD",,"GUARD","Freshman",0,"William Fremd","HOFFMAN ESTATES, ILL","IL","USA"
9,"UAB",,"LaMiracle Sims","Jr.","Moss Point","Miss","Moss Point HS","Jones College","6' 1''","Forward","12","https://uabsports.com/sports/womens-basketball/roster/lamiracle-sims/8210","2020-21","AL","C-USA","I",6,1,73,"FORWARD",,"FORWARD","Junior",0,"Moss Point HS","MOSS POINT, MISS","MS","USA"
